comment_id,videoId,channelId,parentId,authorDisplayName,authorChannelId,textDisplay,likeCount,publishedAt,updatedAt,moderationStatus
cmt_013,vid_016,,,"JobHunter_2025",UC_user011,"200 applications... that's dedication. The part about tailoring resumes for each company is key. Quality > quantity.",19,2025-02-14T09:30:00Z,2025-02-14T09:30:00Z,published
cmt_014,vid_016,,,"RecruiterRachel",UC_user012,"As a tech recruiter, can confirm — personalized cover letters and project links in applications really do stand out. Great video!",34,2025-02-15T14:00:00Z,2025-02-15T14:00:00Z,published
cmt_015,vid_019,,,"AnonymousDev",UC_user013,"Currently at a FAANG making similar money and feeling the same burnout. This video came at the right time. Thank you.",67,2025-02-09T06:30:00Z,2025-02-09T06:30:00Z,published
cmt_016,vid_019,,,"StartupSally",UC_user014,"Left Google 2 years ago for a startup. Best decision ever. Less money but so much happier and more impactful.",23,2025-02-10T10:15:00Z,2025-02-10T10:15:00Z,published
cmt_017,vid_019,UC_TechCraftAcademy,cmt_015,"TechCraft Academy",UC_TechCraftAcademy,"Hang in there! The burnout is real. My DMs are open if you ever want to chat about the transition.",41,2025-02-09T12:00:00Z,2025-02-09T12:00:00Z,published
cmt_018,vid_006,,,"InterviewPrep_Alex",UC_user015,"Used this exact approach in my Amazon interview last week. The interviewer was impressed with the caching layer discussion. Thanks!",13,2025-03-06T18:00:00Z,2025-03-06T18:00:00Z,published
cmt_019,vid_014,,,"TypeScriptNoob",UC_user016,"Finally someone who explains generics without making it sound like rocket science. The utility types section was gold.",9,2025-02-19T13:30:00Z,2025-02-19T13:30:00Z,published
cmt_020,vid_021,,,"LeetCodeGrinder",UC_user017,"The pattern approach is exactly what NeetCode teaches too. It's the only way that works long-term vs just memorizing solutions.",14,2025-02-05T20:00:00Z,2025-02-05T20:00:00Z,published
cmt_021,vid_012,,,"NextJsFan",UC_user018,"This was 1.5 hours of pure value. Bookmarked and coming back to code along this weekend.",5,2025-02-23T09:00:00Z,2025-02-23T09:00:00Z,published
cmt_022,vid_013,,,"BootcampGrad_2024",UC_user019,"Graduated from a bootcamp last year. Can confirm the success rate data. About 40% of my cohort got dev jobs within 6 months.",16,2025-02-21T15:45:00Z,2025-02-21T15:45:00Z,published
cmt_023,vid_025,,,"ReactArchitect",UC_user020,"Finally a clear explanation of compound components! Been using this pattern at work but couldn't explain it well to juniors. Sharing this with my team.",7,2025-01-29T11:00:00Z,2025-01-29T11:00:00Z,published
cmt_024,vid_029,,,"NewbieCoder2025",UC_user021,"This roadmap is so much more realistic than the ones that say 'learn everything in 3 months'. Subscribed!",21,2025-01-19T08:30:00Z,2025-01-19T08:30:00Z,published
cmt_025,vid_005,,,"ToolCollector",UC_user022,"Error Lens changed my life. No more squinting at the problems panel. Can't believe I didn't know about it before.",4,2025-03-07T16:30:00Z,2025-03-07T16:30:00Z,published
cmt_026,vid_001,,,"SpamBot9000",UC_user_spam1,"🔥🔥 Make $5000/day with this ONE trick!! Click my profile!! 🔥🔥",0,2025-03-18T03:00:00Z,2025-03-18T03:00:00Z,rejected
cmt_027,vid_004,,,"SpammerXX",UC_user_spam2,"FREE IPHONE GIVEAWAY CHECK BIO!!!",0,2025-03-11T04:30:00Z,2025-03-11T04:30:00Z,rejected
cmt_028,vid_019,,,"ControversialTake",UC_user023,"This feels like humble bragging about your salary tbh...",2,2025-02-11T22:00:00Z,2025-02-11T22:00:00Z,heldForReview
cmt_029,vid_008,,,"MultiLinkSpam",UC_user_spam3,"Check out my channel for better tutorials >>> link.suspicious.com",0,2025-03-04T01:15:00Z,2025-03-04T01:15:00Z,rejected
cmt_030,vid_026,,,"K8sNewbie",UC_user024,"Wait... you're telling me I don't need to understand EVERYTHING about K8s as a developer? This is refreshing. Most DevOps content assumes you're managing the cluster.",8,2025-01-26T10:00:00Z,2025-01-26T10:00:00Z,published
cmt_031,vid_002,,,"RudeComment",UC_user025,"This is too basic. Waste of time for anyone who's actually serious about programming.",1,2025-03-16T23:00:00Z,2025-03-16T23:00:00Z,heldForReview
cmt_032,vid_023,,,"DBAdmin_Dave",UC_user026,"One thing to add: PostgreSQL's JSONB support means you can get document-like flexibility within a relational DB. Best of both worlds in many cases.",11,2025-02-02T14:30:00Z,2025-02-02T14:30:00Z,published
cmt_033,vid_010,,,"PortfolioReviewed",UC_user027,"OMG THAT'S MY PROJECT! I'm the subscriber! Thank you so much for the feedback — already fixed the performance issues you mentioned. 🙏",52,2025-02-25T16:00:00Z,2025-02-25T16:00:00Z,published
cmt_034,vid_010,UC_TechCraftAcademy,cmt_033,"TechCraft Academy",UC_TechCraftAcademy,"Legend! Send me the updated version and I might do a follow-up showing the improvements. Keep building! 🚀",28,2025-02-25T18:30:00Z,2025-02-25T18:30:00Z,published
cmt_035,vid_015,,,"GitMaster",UC_user028,"Hot take: just always rebase for feature branches and merge for main. Simple rule that works 99% of the time.",6,2025-02-16T09:00:00Z,2025-02-16T09:00:00Z,published
cmt_036,vid_020,,,"GopherNewbie",UC_user029,"First time trying Go after watching this. The error handling is... different. But the binary compilation is amazing. Thanks for the tutorial!",3,2025-02-07T12:30:00Z,2025-02-07T12:30:00Z,published
cmt_037,vid_024,,,"RemoteWorker",UC_user030,"The deep work block concept is huge. I started doing 2-hour no-notification blocks and my productivity doubled. Thanks for sharing your routine!",10,2025-01-31T07:00:00Z,2025-01-31T07:00:00Z,published
cmt_038,vid_009,,,"FastAPIFan",UC_user031,"This is better than the official FastAPI docs tutorial. The SQLAlchemy integration section saved me hours of debugging.",7,2025-02-28T19:00:00Z,2025-02-28T19:00:00Z,published
cmt_039,vid_018,,,"VimUser",UC_user032,"Been using Vim for 15 years and this Neovim config is tempting me to switch. The Telescope plugin alone is worth it.",4,2025-02-12T21:00:00Z,2025-02-12T21:00:00Z,published
cmt_040,vid_021,,,"AlgoStruggler",UC_user033,"I've been grinding LeetCode for 3 months with no improvement. Switching to the pattern approach you described. Fingers crossed!",12,2025-02-06T08:00:00Z,2025-02-06T08:00:00Z,published
cmt_041,vid_001,,,"GratefulDev",UC_user034,"Update: I followed your advice and built all 5 projects. Got 3 interviews in my first week of applying! This channel is gold.",38,2025-04-01T10:00:00Z,2025-04-01T10:00:00Z,published
cmt_042,vid_016,,,"HiringManager",UC_user035,"As someone who reviews 100+ applications per role — the insights about what makes applications stand out are 100% accurate.",15,2025-02-16T11:30:00Z,2025-02-16T11:30:00Z,published
cmt_043,vid_004,,,"SaaSBuilder",UC_user036,"What's the MRR now? Would love a 6-month update on this project!",6,2025-03-20T14:00:00Z,2025-03-20T14:00:00Z,published
cmt_044,vid_004,UC_TechCraftAcademy,cmt_043,"TechCraft Academy",UC_TechCraftAcademy,"It's at about $2.3K MRR now! Planning a follow-up video next month with all the growth data. Stay tuned! 📈",22,2025-03-20T16:00:00Z,2025-03-20T16:00:00Z,published
cmt_045,vid_003,,,"VueFanboy",UC_user037,"Vue 3 composition API + Pinia is *chef's kiss*. React hooks feel clunky in comparison once you've tried it.",3,2025-03-13T09:00:00Z,2025-03-13T09:00:00Z,published
cmt_046,vid_006,,,"SystemDesignStudent",UC_user038,"Can you do more system design videos? Maybe design Twitter or a notification system? Your explanations are the clearest on YouTube.",8,2025-03-05T15:00:00Z,2025-03-05T15:00:00Z,published
cmt_047,vid_013,,,"BootcampSkeptic",UC_user039,"$15-20K for a bootcamp when freeCodeCamp and The Odin Project exist for free? Hard pass. Thanks for being honest about the alternatives.",9,2025-02-22T20:00:00Z,2025-02-22T20:00:00Z,published
cmt_048,vid_029,,,"OverwhelmedDev",UC_user040,"I needed this so badly. Was trying to learn React Angular AND Vue simultaneously. Now I'm just going to focus on React. Thank you!",17,2025-01-20T12:00:00Z,2025-01-20T12:00:00Z,published
cmt_049,vid_019,,,"ExFAANG_engineer",UC_user041,"Similar experience at Meta. The golden handcuffs are real but so is the burnout. Good on you for making the jump.",29,2025-02-12T08:45:00Z,2025-02-12T08:45:00Z,published
cmt_050,vid_007,,,"JSBeginner",UC_user042,"Map filter reduce in 52 seconds... and it actually made sense! Subscribed immediately.",2,2025-03-04T17:30:00Z,2025-03-04T17:30:00Z,published
