sku,asin,sellerId,title,description,brand,bulletPoints,price,currency,quantity,fulfillmentChannel,status,condition,productType,itemWeight,itemWeightUnit,itemLength,itemWidth,itemHeight,itemDimensionsUnit,mainImageUrl,category,createdDate,lastUpdatedDate
VE-PWR-10K,B0EXAMPLE11,A3EXAMPLE1SELLER,VoltEdge PowerVault 10000mAh Portable Charger - USB-C PD 20W,Compact portable power bank with 20W USB-C PD and 18W QC 3.0. Charges iPhone 15 approximately 2 times. LED battery indicator.,VoltEdge Tech,"20W USB-C Power Delivery|18W Quick Charge 3.0 output|10000mAh capacity (charges iPhone 2x)|Compact pocket-friendly size|LED battery level indicator",24.99,USD,78,AFN,ACTIVE,NEW,PORTABLE_POWER_BANK,0.48,pounds,5.2,2.7,0.6,inches,https://m.media-amazon.com/images/I/example11.jpg,Electronics,2024-09-15T10:00:00Z,2026-04-18T14:30:00Z
VE-PWR-20K,B0EXAMPLE12,A3EXAMPLE1SELLER,VoltEdge PowerVault Pro 20000mAh with 65W USB-C,High-capacity power bank with 65W PD output. Charges laptops tablets and phones. Dual USB-C + USB-A ports. Digital display.,VoltEdge Tech,"65W USB-C PD - charges laptops|20000mAh high capacity|Dual USB-C + USB-A (3 devices simultaneously)|Digital LED display shows exact %|Airline approved (72Wh)",44.99,USD,35,AFN,ACTIVE,NEW,PORTABLE_POWER_BANK,0.92,pounds,6.5,3.2,0.9,inches,https://m.media-amazon.com/images/I/example12.jpg,Electronics,2025-01-20T09:00:00Z,2026-04-22T10:00:00Z
VE-CHRG-WALL,B0EXAMPLE13,A3EXAMPLE1SELLER,VoltEdge 65W GaN USB-C Wall Charger - Dual Port,Ultra-compact GaN charger with 65W total output. Dual USB-C ports with intelligent power distribution. Foldable prongs for travel.,VoltEdge Tech,"65W GaN technology - 50% smaller than traditional|Dual USB-C ports with smart power split|Foldable prongs for easy travel|Universal voltage (100-240V)|PPS support for Samsung super fast charging",32.99,USD,92,AFN,ACTIVE,NEW,POWER_ADAPTER,0.18,pounds,2.5,2.5,1.2,inches,https://m.media-amazon.com/images/I/example13.jpg,Electronics,2025-02-01T11:00:00Z,2026-04-24T08:00:00Z
VE-SCRN-S24U,B0EXAMPLE14,A3EXAMPLE1SELLER,VoltEdge Tempered Glass for Samsung Galaxy S24 Ultra (2-Pack),Premium tempered glass with fingerprint sensor compatible cutout. 9H hardness with UV protection coating. Includes installation kit.,VoltEdge Tech,"Fingerprint sensor compatible|9H hardness tempered glass|UV blue light filter coating|Full adhesive coverage|Installation kit with alignment tool",15.99,USD,156,AFN,ACTIVE,NEW,SCREEN_PROTECTOR,0.1,pounds,7.5,4.5,0.6,inches,https://m.media-amazon.com/images/I/example14.jpg,Cell Phones & Accessories,2024-10-20T10:00:00Z,2026-04-15T12:00:00Z
VE-CASE-S24U,B0EXAMPLE15,A3EXAMPLE1SELLER,VoltEdge Clear Hybrid Case for Samsung Galaxy S24 Ultra,Crystal clear hybrid case with yellowing-resistant materials. Military drop tested with reinforced corners. Slim profile preserves phone design.,VoltEdge Tech,"Anti-yellowing crystal clear design|Military-grade corner protection|Slim 1.5mm profile|Raised bezels for camera module|Wireless charging compatible",17.99,USD,108,AFN,ACTIVE,NEW,CELLULAR_PHONE_CASE,0.07,pounds,6.5,3.3,0.5,inches,https://m.media-amazon.com/images/I/example15.jpg,Cell Phones & Accessories,2024-11-15T09:00:00Z,2026-04-20T14:30:00Z
VE-CHRG-MAG,B0EXAMPLE16,A3EXAMPLE1SELLER,VoltEdge MagSnap 15W Wireless Charger Pad - Black,Magnetic wireless charging pad with 15W fast charging for iPhone. Includes USB-C cable. LED indicator and foreign object detection.,VoltEdge Tech,"15W MagSafe fast charging|Strong magnetic alignment|Foreign object detection for safety|LED charging indicator|Includes 4ft USB-C cable",22.99,USD,64,AFN,ACTIVE,NEW,WIRELESS_CHARGER,0.25,pounds,3.5,3.5,0.4,inches,https://m.media-amazon.com/images/I/example16.jpg,Electronics,2025-03-01T10:00:00Z,2026-04-26T11:00:00Z
VE-CHRG-CAR,B0EXAMPLE17,A3EXAMPLE1SELLER,VoltEdge 45W Dual USB-C Car Charger with LED,Dual USB-C car charger with 45W total output (30W + 15W). Compact flush-mount design with blue LED indicator. PD 3.0 and QC 4.0.,VoltEdge Tech,"45W total output (30W + 15W)|Dual USB-C PD 3.0 ports|Compact flush-mount design|Blue LED power indicator|Wide compatibility: phones tablets GPS",18.99,USD,43,MFN,ACTIVE,NEW,CAR_CHARGER,0.06,pounds,2.8,1.2,1.2,inches,https://m.media-amazon.com/images/I/example17.jpg,Electronics,2025-02-15T08:00:00Z,2026-04-21T09:30:00Z
VE-CABLE-MAG,B0EXAMPLE18,A3EXAMPLE1SELLER,VoltEdge Magnetic USB-C Charging Cable 6ft - 100W PD,Magnetic breakaway USB-C cable for laptop and phone charging. 100W PD and 10Gbps data. Prevents trip-and-pull accidents.,VoltEdge Tech,"Magnetic breakaway connector|100W Power Delivery charging|10Gbps USB 3.2 data transfer|Premium braided 6ft cable|LED connection indicator",27.99,USD,29,MFN,ACTIVE,NEW,USB_CABLE,0.18,pounds,8.0,4.0,1.0,inches,https://m.media-amazon.com/images/I/example18.jpg,Electronics,2025-03-10T10:00:00Z,2026-04-23T15:00:00Z
KW-CASH-001,B0FASH001,A3FASHIONSELLER1,Luxe Cashmere Oversized Crewneck Sweater - Women's,Contemporary women's knitwear in 100% Grade-A Mongolian cashmere. Oversized crewneck with dropped shoulders ribbed trim. Available in Oatmeal Charcoal and Fog.,Everlane,"100% Grade-A Mongolian cashmere|Oversized relaxed fit|Ribbed cuffs and hem|Machine washable|Sustainably sourced",178.00,USD,45,AFN,ACTIVE,NEW,SWEATER,0.65,pounds,28.0,22.0,2.0,inches,https://m.media-amazon.com/images/I/fash001.jpg,Clothing Shoes & Jewelry,2025-01-15T10:00:00Z,2026-04-20T09:00:00Z
KW-CASH-002,B0FASH002,A3FASHIONSELLER1,Cashmere Ribbed Turtleneck - Fitted - Women's,Luxury knitwear in fine gauge 2-ply cashmere. Fitted turtleneck slim silhouette designed for layering. Colors: Black Ivory Camel.,Naadam,"2-ply Grade-A cashmere|Fitted silhouette|Fine gauge rib knit|Dry clean recommended|Ethically produced in Mongolia",195.00,USD,32,AFN,ACTIVE,NEW,SWEATER,0.45,pounds,26.0,18.0,1.5,inches,https://m.media-amazon.com/images/I/fash002.jpg,Clothing Shoes & Jewelry,2025-02-01T10:00:00Z,2026-04-18T11:00:00Z
KW-MERI-003,B0FASH003,A3FASHIONSELLER2,Merino Wool Cable Knit Cardigan Open Front - Women's,Contemporary knitwear in extra-fine merino wool. Open-front cable knit cardigan relaxed fit patch pockets. Ivory and Heather Grey.,COS,"Extra-fine merino wool|Open front relaxed fit|Classic cable knit pattern|Patch pockets|Oversized shoulders",225.00,USD,28,AFN,ACTIVE,NEW,CARDIGAN,0.85,pounds,30.0,24.0,3.0,inches,https://m.media-amazon.com/images/I/fash003.jpg,Clothing Shoes & Jewelry,2025-01-20T09:00:00Z,2026-04-22T14:00:00Z
KW-MERI-004,B0FASH004,A3FASHIONSELLER2,Merino Blend Half-Zip Pullover - Contemporary Women's,Contemporary women's knitwear in 70% merino 30% cotton blend. Half-zip pullover boxy cropped silhouette. Colors: Taupe Sage Charcoal.,& Other Stories,"70/30 merino cotton blend|Half-zip closure|Boxy cropped fit|Ribbed collar and cuffs|Relaxed everyday luxury",165.00,USD,54,AFN,ACTIVE,NEW,SWEATER,0.55,pounds,24.0,20.0,2.0,inches,https://m.media-amazon.com/images/I/fash004.jpg,Clothing Shoes & Jewelry,2025-02-10T10:00:00Z,2026-04-19T10:30:00Z
KW-MOHA-005,B0FASH005,A3FASHIONSELLER1,Mohair Blend V-Neck Sweater - Lightweight Women's,Luxury knitwear in kid mohair and silk blend. Lightweight V-neck with subtle sheen relaxed drape. Dusty Rose Cream Black.,Toteme,"Kid mohair silk blend|Lightweight semi-sheer|Relaxed draped fit|V-neckline|Hand wash only",289.00,USD,18,AFN,ACTIVE,NEW,SWEATER,0.35,pounds,26.0,20.0,1.0,inches,https://m.media-amazon.com/images/I/fash005.jpg,Clothing Shoes & Jewelry,2025-03-01T09:00:00Z,2026-04-21T15:00:00Z
KW-COAT-006,B0FASH006,A3FASHIONSELLER3,Wool Blend Cocoon Coat - Women's Outerwear,Women's outerwear in double-face wool blend. Cocoon coat with oversized silhouette wrap closure. Stone Grey and Black.,Arket,"Double-face wool blend|Cocoon oversized silhouette|Wrap closure hidden snaps|Unlined clean finish|Dropped shoulder",345.00,USD,12,AFN,ACTIVE,NEW,COAT,1.80,pounds,44.0,26.0,4.0,inches,https://m.media-amazon.com/images/I/fash006.jpg,Clothing Shoes & Jewelry,2025-01-25T10:00:00Z,2026-04-20T12:00:00Z
KW-COAT-007,B0FASH007,A3FASHIONSELLER3,Sculptural Wool Coat Asymmetric Hem - Women's,Architectural women's outerwear. Single-button wool coat with asymmetric hemline. Exaggerated lapels structured shoulders. Black.,Cos,"100% virgin wool|Asymmetric hemline|Single-button closure|Exaggerated lapels|Structured padded shoulders",395.00,USD,8,AFN,ACTIVE,NEW,COAT,2.10,pounds,46.0,28.0,4.5,inches,https://m.media-amazon.com/images/I/fash007.jpg,Clothing Shoes & Jewelry,2025-02-15T09:00:00Z,2026-04-23T11:00:00Z
KW-JACK-008,B0FASH008,A3FASHIONSELLER2,Cropped Bouclé Knit Jacket - Collarless Women's,Bouclé knit cropped jacket with raw-edge finishing. Collarless hook closure. Ecru and Black.,Sandro,"Bouclé wool blend|Cropped length|Raw edge finish|Collarless design|Hook-and-eye closure",310.00,USD,15,AFN,ACTIVE,NEW,JACKET,0.95,pounds,22.0,20.0,3.0,inches,https://m.media-amazon.com/images/I/fash008.jpg,Clothing Shoes & Jewelry,2025-03-05T10:00:00Z,2026-04-24T09:00:00Z
KW-KNIT-009,B0FASH009,A3FASHIONSELLER1,Alpaca Wool Wrap Cardigan - Long Women's,100% baby alpaca long wrap cardigan with self-tie belt. Floor-grazing length. Camel and Charcoal.,Jenni Kayne,"100% baby alpaca|Self-tie wrap closure|Floor length|Pockets at hip|Hand knit in Peru",378.00,USD,9,AFN,ACTIVE,NEW,CARDIGAN,1.20,pounds,52.0,24.0,3.0,inches,https://m.media-amazon.com/images/I/fash009.jpg,Clothing Shoes & Jewelry,2025-02-20T10:00:00Z,2026-04-25T14:00:00Z
KW-KNIT-010,B0FASH010,A3FASHIONSELLER3,Chunky Rib Knit Midi Dress - Cashmere Blend Women's,Cashmere-wool blend ribbed midi dress. Fitted silhouette with side slits. Heather Oat and Charcoal.,Vince,"Cashmere wool blend|Ribbed knit texture|Midi length with side slits|Fitted silhouette|Crew neckline",265.00,USD,22,AFN,ACTIVE,NEW,DRESS,0.75,pounds,42.0,18.0,2.0,inches,https://m.media-amazon.com/images/I/fash010.jpg,Clothing Shoes & Jewelry,2025-03-12T09:00:00Z,2026-04-26T10:00:00Z
KW-PUFF-011,B0FASH011,A3FASHIONSELLER2,Geometric Quilted Puffer Jacket - Matte Cropped Women's,Women's outerwear geometric quilted puffer. Cropped length standing collar matte finish. Black and Sage.,Aritzia,"Recycled polyester fill|Geometric angular quilting|Cropped length|Standing collar|Water-resistant matte shell",198.00,USD,38,AFN,ACTIVE,NEW,JACKET,0.90,pounds,24.0,22.0,5.0,inches,https://m.media-amazon.com/images/I/fash011.jpg,Clothing Shoes & Jewelry,2025-03-20T10:00:00Z,2026-04-27T09:00:00Z
KW-BLZR-012,B0FASH012,A3FASHIONSELLER1,Oversized Wool Blazer - Double Breasted Women's,Virgin wool oversized double-breasted blazer. Dropped shoulders relaxed fit. Navy Charcoal Camel.,The Frankie Shop,"100% virgin wool|Oversized double-breasted|Dropped shoulders|Relaxed fit|Fully lined",275.00,USD,20,AFN,ACTIVE,NEW,BLAZER,1.10,pounds,30.0,24.0,3.5,inches,https://m.media-amazon.com/images/I/fash012.jpg,Clothing Shoes & Jewelry,2025-04-01T09:00:00Z,2026-04-28T11:00:00Z
KW-CASH-013,B0FASH013,A3FASHIONSELLER3,Hand-Knit Cashmere Chunky Cable Coat - Women's,Premium knitwear outerwear in hand-knit 4-ply cashmere. Full-length chunky cable coat with shawl collar. Natural Ivory and Charcoal.,Brunello Cucinelli,"Hand-knit 4-ply cashmere|Full-length cable coat|Shawl collar|Horn button closure|Made in Italy",895.00,USD,4,AFN,ACTIVE,NEW,COAT,2.40,pounds,48.0,28.0,5.0,inches,https://m.media-amazon.com/images/I/fash013.jpg,Clothing Shoes & Jewelry,2025-01-05T09:00:00Z,2026-04-25T10:00:00Z
KW-COAT-014,B0FASH014,A3FASHIONSELLER3,Cashmere-Wool Double Breasted Maxi Coat - Women's,Luxury outerwear in 70% cashmere 30% wool double-breasted maxi coat. Structured shoulders belt detail. Black and Camel.,Max Mara,"70% cashmere 30% wool|Double-breasted closure|Maxi length|Structured shoulders|Detachable belt",1250.00,USD,3,AFN,ACTIVE,NEW,COAT,2.80,pounds,52.0,28.0,5.0,inches,https://m.media-amazon.com/images/I/fash014.jpg,Clothing Shoes & Jewelry,2024-12-15T10:00:00Z,2026-04-22T14:00:00Z
KW-KNIT-015,B0FASH015,A3FASHIONSELLER1,Intarsia Cashmere Oversized Pullover - Art Print Women's,Designer knitwear in pure cashmere intarsia knit. Oversized pullover with abstract art motif. Limited edition colorway.,The Elder Statesman,"100% cashmere intarsia|Oversized fit|Abstract art pattern|Hand-finished|Limited colorway edition",720.00,USD,5,AFN,ACTIVE,NEW,SWEATER,0.90,pounds,30.0,26.0,3.0,inches,https://m.media-amazon.com/images/I/fash015.jpg,Clothing Shoes & Jewelry,2025-02-28T09:00:00Z,2026-04-27T11:00:00Z
