pin_id,board_id,board_section_id,title,description,link,media_type,created_at,updated_at,dominant_color,alt_text,is_promoted,pin_metrics_impressions,pin_metrics_saves,pin_metrics_clicks
pin_3011,board_1004,section_2006,Three-Tier Orchid Bench Setup,How to build and organize three-tier aluminum benches for a hobby greenhouse. Maximizes growing space for 200 plus plants. #greenhouse #orchidgrowing #benchsetup,https://www.greenhouse.org/bench-systems/,image,2024-03-10T10:00:00,2026-04-15T09:00:00,#8B9E7A,Inside of a hobby greenhouse showing three levels of aluminum benches filled with potted orchids,false,1450,118,72
pin_3012,board_1004,section_2007,Humidity Controller Comparison for Orchid Greenhouses,Comparing Ecowitt Inkbird and SensorPush humidity controllers for orchid greenhouse automation. Pros cons and pricing. #greenhousetech #humidity #orchids,https://www.orchidboard.com/community/greenhouse-chat/,image,2024-06-22T15:30:00,2026-04-22T11:00:00,#B8C5D4,Three different digital humidity controllers displayed side by side on a greenhouse bench,false,2100,189,134
pin_3013,board_1005,section_2008,One-Pot Chicken and Dumplings,Classic Southern chicken and dumplings recipe. Comfort food for busy weeknights in under 45 minutes. #comfortfood #chickendumplings #weeknightdinner,https://www.southernliving.com/chicken-dumplings-recipe,image,2023-10-05T16:00:00,2026-04-08T10:30:00,#C4A882,A cast iron pot filled with creamy chicken and dumpling stew with fresh parsley on top,false,3240,256,178
pin_3014,board_1005,section_2009,Buttermilk Biscuits from Scratch,Fluffy buttermilk biscuits that rise every time. Includes the cold butter cutting technique. #biscuits #sundaybaking #southernrecipes,https://www.kingarthurbaking.com/recipes/buttermilk-biscuits,image,2024-04-18T09:15:00,2026-04-23T08:30:00,#DED0C0,Golden brown buttermilk biscuits on a baking sheet with a butter knife and honey jar,false,4120,345,223
pin_3015,board_1006,section_2010,Native Charlotte Perennial Garden Plan,Zone 7b perennial garden layout for Charlotte NC. Includes coneflower black-eyed Susan and native grasses. #nativegarden #charlotte #perennials,https://www.ncbg.unc.edu/native-plants/,image,2024-08-01T10:00:00,2026-04-25T15:00:00,#4A6741,Garden bed layout diagram showing placement of native perennials with bloom season color coding,false,1870,142,95
pin_3016,board_1006,section_2011,Porch Container Garden Ideas for Shade,Container combinations for shaded porches. Ferns hostas and caladiums in decorative pots. #containergarden #shadegarden #porchplants,https://www.bhg.com/shade-container-gardens/,image,2025-03-20T12:00:00,2026-04-14T10:15:00,#2D5016,Three decorative ceramic pots on a porch with ferns hostas and trailing ivy,false,1340,98,63
pin_3017,board_1007,,Cozy Reading Corner with Throw Blankets,Transform any unused corner into the perfect reading nook. Lamp blanket and bookshelf essentials. #readingnook #cozyspaces #booklover,https://www.apartmenttherapy.com/reading-nook-ideas,image,2024-11-01T10:00:00,2026-04-20T14:00:00,#C8B8A4,A window seat reading nook with cushions throw blanket and a stack of Louise Penny novels,false,1120,87,54
pin_3018,board_1008,,Morning Yoga Routine for Wrist Health,Gentle yoga flow designed for people with carpal tunnel and wrist strain. 15 minute morning routine. #yoga #carpaltunnel #wristhealth #morningroutine,https://www.yogajournal.com/wrist-friendly-yoga/,video,2024-05-10T08:00:00,2026-04-06T09:45:00,#E8E0D8,Woman performing a modified downward dog with wrists on yoga blocks in a sunny room,false,2560,198,134
pin_3019,board_1009,,June Show Plant Selection Notes,Private planning notes for Southeast Regional Orchid Show June 13-14. Six entry candidates with bloom timeline and condition tracking.,,image,2026-01-20T08:00:00,2026-05-18T08:00:00,#FFFFFF,,false,0,0,0
pin_3020,board_1002,section_2002,Cattleya Bloom Timeline Documentation,Photo journal showing Cattleya bloom development from sheath to full flower over 6 weeks. Useful for show timing. #cattleya #orchidbloom #bloomtimeline,https://www.orchidsmadeeasy.com/cattleya-bloom-cycle/,image,2025-02-28T15:30:00,2026-05-09T13:00:00,#8B5E83,Four sequential photos of a purple Cattleya orchid from tight bud to fully open bloom,false,3450,298,187
pin_9001,board_5001,section_7001,Traditional Log Cabin in scrappy reds,Traditional Log Cabin in scrappy reds - saved for inspiration,https://www.pinterest.com/pin/pin_9001/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#A82828,Traditional Log Cabin in scrappy reds,false,2226,64,0
pin_9002,board_5001,section_7001,Modern Log Cabin neutral palette,Modern Log Cabin neutral palette - saved for inspiration,https://www.pinterest.com/pin/pin_9002/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#D4C8B0,Modern Log Cabin neutral palette,false,1992,23,0
pin_9003,board_5001,section_7001,Log Cabin courthouse steps variant,Log Cabin courthouse steps variant - saved for inspiration,https://www.pinterest.com/pin/pin_9003/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#8B5A3A,Log Cabin courthouse steps variant,false,2409,70,0
pin_9004,board_5001,section_7001,Hand-quilted Log Cabin from MQX 2025,Hand-quilted Log Cabin from MQX 2025 - saved for inspiration,https://www.pinterest.com/pin/pin_9004/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#C04848,Hand-quilted Log Cabin from MQX 2025,false,2699,90,0
pin_9005,board_5001,section_7002,8-pointed Lone Star jewel tones,8-pointed Lone Star jewel tones - saved for inspiration,https://www.pinterest.com/pin/pin_9005/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#7A1818,8-pointed Lone Star jewel tones,false,3547,114,39
pin_9006,board_5001,section_7002,Texas Lone Star in batiks,Texas Lone Star in batiks - saved for inspiration,https://www.pinterest.com/pin/pin_9006/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#A03028,Texas Lone Star in batiks,false,3395,90,0
pin_9007,board_5001,section_7002,Mini Lone Star ornament tutorial,Mini Lone Star ornament tutorial - saved for inspiration,https://www.pinterest.com/pin/pin_9007/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#D49060,Mini Lone Star ornament tutorial,false,3886,135,57
pin_9008,board_5001,section_7002,Lone Star paper-piecing template,Lone Star paper-piecing template - saved for inspiration,https://www.pinterest.com/pin/pin_9008/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#5C2828,Lone Star paper-piecing template,false,2960,90,0
pin_9009,board_5001,section_7003,Vintage Dresden Plate cream center,Vintage Dresden Plate cream center - saved for inspiration,https://www.pinterest.com/pin/pin_9009/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#F5D870,Vintage Dresden Plate cream center,false,3013,206,90
pin_9010,board_5001,section_7003,Dresden Plate modern scrappy,Dresden Plate modern scrappy - saved for inspiration,https://www.pinterest.com/pin/pin_9010/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#D44830,Dresden Plate modern scrappy,false,2591,174,57
pin_9011,board_5001,section_7003,Dresden Plate hand-appliqué tutorial,Dresden Plate hand-appliqué tutorial - saved for inspiration,https://www.pinterest.com/pin/pin_9011/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#C8B040,Dresden Plate hand-appliqué tutorial,false,3162,238,90
pin_9012,board_5001,section_7003,Dresden Plate church bazaar quilt,Dresden Plate church bazaar quilt - saved for inspiration,https://www.pinterest.com/pin/pin_9012/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#A85040,Dresden Plate church bazaar quilt,false,2441,143,21
pin_9101,board_5001,section_7004,Bear Paw scrap quilt,Bear Paw scrap quilt - saved for inspiration,https://www.pinterest.com/pin/pin_9101/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#5A3A28,Bear Paw scrap quilt,false,2093,35,0
pin_9102,board_5001,section_7004,Brown bear paw nursery quilt,Brown bear paw nursery quilt - saved for inspiration,https://www.pinterest.com/pin/pin_9102/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#6B4838,Brown bear paw nursery quilt,false,1798,0,0
pin_9103,board_5001,section_7004,Bear Paw color study,Bear Paw color study - saved for inspiration,https://www.pinterest.com/pin/pin_9103/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#8B6048,Bear Paw color study,false,2276,57,0
pin_9104,board_5001,section_7005,Classic Nine Patch in shirting,Classic Nine Patch in shirting - saved for inspiration,https://www.pinterest.com/pin/pin_9104/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#E0D8C8,Classic Nine Patch in shirting,false,2432,82,0
pin_9105,board_5001,section_7005,Disappearing Nine Patch tutorial,Disappearing Nine Patch tutorial - saved for inspiration,https://www.pinterest.com/pin/pin_9105/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#7A6850,Disappearing Nine Patch tutorial,false,3059,96,0
pin_9106,board_5001,section_7005,Nine Patch baby quilt,Nine Patch baby quilt - saved for inspiration,https://www.pinterest.com/pin/pin_9106/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#C0A878,Nine Patch baby quilt,false,2608,90,0
pin_9107,board_5001,section_7005,Nine Patch on point setting,Nine Patch on point setting - saved for inspiration,https://www.pinterest.com/pin/pin_9107/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#A89060,Nine Patch on point setting,false,2298,56,0
pin_9108,board_5001,section_7006,HST quick-pieced friendship star,HST quick-pieced friendship star - saved for inspiration,https://www.pinterest.com/pin/pin_9108/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#3A5078,HST quick-pieced friendship star,false,1996,52,0
pin_9109,board_5001,section_7006,HST flying geese border,HST flying geese border - saved for inspiration,https://www.pinterest.com/pin/pin_9109/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#506890,HST flying geese border,false,2406,90,0
pin_9110,board_5001,section_7006,8-at-a-time HST tutorial,8-at-a-time HST tutorial - saved for inspiration,https://www.pinterest.com/pin/pin_9110/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#284868,8-at-a-time HST tutorial,false,1812,19,0
pin_9111,board_5001,section_7007,Pinwheel scrap blocks,Pinwheel scrap blocks - saved for inspiration,https://www.pinterest.com/pin/pin_9111/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#C82828,Pinwheel scrap blocks,false,1446,0,0
pin_9112,board_5001,section_7007,Modern Pinwheel in solids,Modern Pinwheel in solids - saved for inspiration,https://www.pinterest.com/pin/pin_9112/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#286848,Modern Pinwheel in solids,false,1631,0,0
pin_9113,board_5001,section_7007,Tiny Pinwheel mug rug,Tiny Pinwheel mug rug - saved for inspiration,https://www.pinterest.com/pin/pin_9113/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#A04060,Tiny Pinwheel mug rug,false,1311,0,0
pin_9114,board_5001,section_7008,Bias binding tutorial,Bias binding tutorial - saved for inspiration,https://www.pinterest.com/pin/pin_9114/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#404040,Bias binding tutorial,false,4108,270,90
pin_9115,board_5001,section_7008,Free-motion quilting feathers,Free-motion quilting feathers - saved for inspiration,https://www.pinterest.com/pin/pin_9115/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#605040,Free-motion quilting feathers,false,3406,192,90
pin_9116,board_5001,section_7008,Quarter-inch foot accuracy guide,Quarter-inch foot accuracy guide - saved for inspiration,https://www.pinterest.com/pin/pin_9116/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#707070,Quarter-inch foot accuracy guide,false,3085,180,81
pin_9117,board_5001,section_7008,Pressing seams open vs to side,Pressing seams open vs to side - saved for inspiration,https://www.pinterest.com/pin/pin_9117/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#505050,Pressing seams open vs to side,false,3613,240,90
pin_9118,board_5001,section_7008,Hand-quilting big stitch primer,Hand-quilting big stitch primer - saved for inspiration,https://www.pinterest.com/pin/pin_9118/,image,2026-02-15T10:00:00,2026-05-22T14:00:00,#806848,Hand-quilting big stitch primer,false,3234,194,90
