listing_id,shop_id,title,description,price,currency_code,quantity,taxonomy_id,tags,materials,who_made,when_made,state,shop_section_id,processing_min,processing_max,item_weight,item_weight_unit,item_length,item_width,item_height,item_dimensions_unit,views,num_favorers,shipping_profile_id,return_policy_id,is_supply,is_customizable,is_personalizable,created_timestamp,updated_timestamp,ending_timestamp
1011,29457183,Tall Ceramic Vase - Textured White,Tall vase with hand-carved geometric texture under a matte white glaze. Approximately 10 inches tall. A stunning piece for dried flowers or branches.,65.00,USD,3,2101,"tall vase,ceramic vase,textured vase,white vase,pottery vase,decorative vase,carved ceramic","stoneware clay,matte white glaze",i_did,2020_2026,active,40003,10,14,1.5,lb,4.5,4.5,10.0,in,892,201,50001,60001,false,false,false,2024-08-22T09:30:00,2025-04-05T14:00:00,2026-02-22T09:30:00
1012,29457183,Ceramic Butter Dish with Lid - Honey Amber,Classic butter dish with fitted lid in a warm honey amber glaze. Keeps butter fresh on the counter. Fits a standard stick of butter.,36.00,USD,4,2094,"butter dish,ceramic butter dish,pottery butter dish,honey glaze,kitchen pottery,amber ceramic","stoneware clay,iron oxide glaze,rutile",i_did,2020_2026,active,40002,7,14,0.9,lb,7.0,3.5,3.0,in,445,76,50001,60001,false,true,false,2024-09-10T11:15:00,2025-04-01T16:00:00,2026-03-10T11:15:00
1013,29457183,Wedding Registry - Custom Dinnerware Set,Complete dinnerware set for your registry. Includes 4 dinner plates 4 salad plates 4 bowls and 4 mugs. Choose your glaze color. 3-month lead time.,480.00,USD,1,2094,"wedding registry,dinnerware set,custom pottery,wedding gift,bridal registry,handmade dinnerware","stoneware clay,custom glaze",i_did,2020_2026,active,40005,60,90,18.0,lb,11.0,11.0,8.0,in,2567,389,50002,60001,false,true,true,2024-09-25T14:00:00,2025-04-26T09:30:00,2026-03-25T14:00:00
1014,29457183,Ceramic Tumbler - No Handle - Wabi Sabi,Japanese-inspired tumbler with deliberate imperfections celebrating wabi-sabi aesthetic. Unglazed exterior with glazed interior. Holds 10oz.,24.00,USD,7,2078,"tumbler,ceramic tumbler,wabi sabi,japanese pottery,no handle cup,yunomi,handmade tumbler","stoneware clay,shino glaze",i_did,2020_2026,active,40001,5,10,0.65,lb,3.0,3.0,4.5,in,623,112,50001,60001,false,false,false,2024-10-08T10:00:00,2025-04-15T12:30:00,2026-04-08T10:00:00
1015,29457183,Small Pinch Bowl Set of 6 - Assorted Glazes,Six tiny pinch bowls in a rainbow of my signature glazes. Perfect for spices condiments or trinkets. Each approximately 3 inches diameter.,42.00,USD,4,2087,"pinch bowls,small bowls,condiment bowls,spice bowls,prep bowls,ceramic bowls,assorted glazes","stoneware clay,various glazes",i_did,2020_2026,active,40002,7,14,1.0,lb,3.0,3.0,1.5,in,1089,167,50001,60001,false,false,false,2024-10-30T08:45:00,2025-04-20T15:00:00,2026-04-30T08:45:00
1016,29457183,Wall-Mounted Ceramic Planter - Half Moon,Semi-circular wall planter with mounting hole. Perfect for trailing plants. Available in Midnight Blue or Forest Green.,34.00,USD,5,2101,"wall planter,hanging planter,ceramic planter,half moon planter,indoor planter,trailing plants","stoneware clay,cobalt glaze",i_did,2020_2026,active,40003,7,14,0.8,lb,6.0,3.0,5.0,in,567,98,50001,60001,false,true,false,2024-11-15T13:00:00,2025-04-22T09:45:00,2026-05-15T13:00:00
1017,29457183,SECONDS SALE - Mug with Minor Glaze Flaw,Perfectly functional mug with a small cosmetic glaze imperfection (pinhole or color variation). Same quality clay and construction - just not quite perfect enough for full price. Mystery glaze color!,18.00,USD,3,2078,"seconds sale,discounted mug,ceramic mug,pottery seconds,imperfect mug,sale mug","stoneware clay,various glazes",i_did,2020_2026,active,40006,3,5,0.85,lb,3.5,3.5,4.0,in,2890,134,50001,60001,false,false,false,2025-01-05T09:00:00,2025-04-28T10:00:00,2025-07-05T09:00:00
1018,29457183,Ceramic Spoon Rest - Leaf Shape,Leaf-shaped spoon rest with a gentle curve to hold your cooking spoon. Glazed in Sage Green with hand-painted vein details.,20.00,USD,6,2094,"spoon rest,ceramic spoon rest,kitchen decor,leaf spoon rest,pottery spoon rest,cooking gift","stoneware clay,celadon glaze,iron oxide detail",i_did,2020_2026,active,40006,5,10,0.35,lb,5.5,3.5,0.75,in,412,67,50001,60001,false,false,false,2025-02-10T11:30:00,2025-04-15T08:00:00,2025-08-10T11:30:00
1019,29457183,Oval Serving Platter - Earthy Brown Glaze,Large oval platter with a rich earthy brown glaze and subtle golden flecks. Perfect for charcuterie or as a decorative tray. 14 x 9 inches.,68.00,USD,2,2094,"serving platter,oval platter,ceramic platter,charcuterie board,pottery platter,brown ceramic","stoneware clay,tenmoku glaze",i_did,2020_2026,active,40004,14,21,3.2,lb,14.0,9.0,1.0,in,334,54,50002,60001,false,false,false,2025-03-01T10:00:00,2025-04-20T14:00:00,2025-09-01T10:00:00
1020,29457183,Ceramic Travel Mug with Silicone Lid - Draft,Double-walled ceramic travel mug with food-grade silicone lid. Keeps drinks warm longer. 16oz capacity. NOT YET AVAILABLE - testing prototypes.,40.00,USD,0,2078,"travel mug,ceramic travel mug,commuter mug,to-go mug,double wall mug","stoneware clay,feldspar glaze,silicone",i_did,2020_2026,draft,40001,14,21,1.1,lb,3.5,3.5,6.5,in,0,0,50001,60001,false,false,false,2025-04-01T09:00:00,2025-04-28T16:00:00,2025-10-01T09:00:00
