id,identifier,number,title,description,priority,estimate,stateId,assigneeId,teamId,projectId,cycleId,labelIds,dueDate,sortOrder,branchName,createdAt,updatedAt,startedAt,completedAt,canceledAt
issue-13,MER-13,13,Bundle size regression in latest deploy,Main bundle increased from 245kb to 312kb after adding chart library. Need to code-split and lazy-load.,2,3,state-frn-inprogress,user-09,team-frontend,proj-perf,cycle-frn-2,"label-bug,label-performance",2025-04-30,13.0,emma.wright/mer-13-bundle-size-regression,2025-04-21T08:00:00,2025-04-27T10:00:00,2025-04-23T11:00:00,,
issue-14,MER-14,14,Database connection pooling optimization,Connection pool exhaustion during peak hours. Need to tune PgBouncer settings and add connection retry logic.,1,3,state-bkd-done,user-03,team-backend,proj-perf,cycle-bkd-1,"label-bug,label-database,label-p0-incident",2025-04-12,14.0,amara.okafor/mer-14-database-connection-pooling,2025-04-08T07:00:00,2025-04-12T15:00:00,2025-04-08T08:00:00,2025-04-12T15:00:00,
issue-15,MER-15,15,Create API documentation portal with Swagger UI,Deploy interactive API docs at /docs with examples for all v2 endpoints. Include authentication guide.,4,3,state-bkd-backlog,user-04,team-backend,proj-api-v2,,"label-feature,label-api",,15.0,,2025-04-20T14:00:00,2025-04-20T14:00:00,,,
issue-16,MER-16,16,Implement dark mode toggle in settings panel,Add dark mode preference to user settings with system-preference detection and smooth transition.,4,2,state-frn-backlog,user-07,team-frontend,proj-dashboard,,"label-feature,label-ui",,16.0,,2025-04-22T09:00:00,2025-04-22T09:00:00,,,
issue-17,MER-17,17,Upgrade Kubernetes cluster to 1.29,Upgrade EKS cluster from 1.27 to 1.29. Test all workloads in staging first. Update node AMIs.,2,5,state-plt-inreview,user-10,team-platform,,cycle-plt-2,"label-infra,label-security",,17.0,lucas.martinez/mer-17-upgrade-kubernetes-cluster,2025-04-10T10:00:00,2025-04-28T09:00:00,2025-04-21T10:00:00,,
issue-18,MER-18,18,Add error boundary components for graceful failures,Wrap major dashboard sections in React error boundaries with fallback UI and error reporting to Sentry.,3,2,state-frn-todo,user-09,team-frontend,proj-dashboard,cycle-frn-3,"label-feature,label-frontend",,18.0,,2025-04-23T10:00:00,2025-04-23T10:00:00,,,
issue-19,MER-19,19,Cancelled: Legacy webhook migration,Migrate legacy webhook format to v2 events. CANCELLED - decided to deprecate instead of migrate.,0,3,state-bkd-cancelled,user-01,team-backend,proj-api-v2,cycle-bkd-1,"label-tech-debt,label-api",,19.0,,2025-03-10T09:00:00,2025-04-10T11:00:00,2025-03-15T09:00:00,,2025-04-10T11:00:00
issue-20,MER-20,20,Implement RBAC for project-level permissions,Add role-based access control at project level. Roles: Admin Maintainer Developer Viewer.,2,8,state-bkd-todo,user-05,team-backend,proj-soc2,cycle-bkd-3,"label-feature,label-security",,20.0,,2025-04-25T09:00:00,2025-04-25T09:00:00,,,
issue-21,MER-21,21,Fix flaky E2E tests in CI pipeline,3 Cypress tests fail intermittently due to race conditions in WebSocket connection setup.,3,2,state-plt-done,user-12,team-platform,,cycle-plt-1,"label-bug,label-ci-cd",,21.0,maya.patel/mer-21-fix-flaky-e2e-tests,2025-04-05T10:00:00,2025-04-16T14:00:00,2025-04-10T09:00:00,2025-04-16T14:00:00,
issue-22,MER-22,22,Responsive layout breaks on tablet viewport,Dashboard grid layout overlaps on iPad-sized screens (768-1024px). Need breakpoint adjustments.,3,2,state-frn-done,user-08,team-frontend,,cycle-frn-1,"label-bug,label-ui,label-customer-reported",,22.0,omar.hassan/mer-22-responsive-layout-breaks,2025-04-06T11:00:00,2025-04-15T16:00:00,2025-04-09T10:00:00,2025-04-15T16:00:00,
issue-23,MER-23,23,Set up Datadog APM integration,Configure Datadog APM agent for all services. Set up service map and latency dashboards.,3,3,state-plt-inprogress,user-11,team-platform,proj-perf,cycle-plt-2,"label-infra,label-monitoring",,23.0,yuki.tanaka/mer-23-set-up-datadog-apm,2025-04-14T09:00:00,2025-04-27T11:00:00,2025-04-22T14:00:00,,
issue-24,MER-24,24,Add bulk issue import from CSV endpoint,Create POST /v2/issues/import that accepts CSV with up to 500 issues. Validate and create in single transaction.,4,5,state-bkd-backlog,user-02,team-backend,proj-api-v2,,"label-feature,label-api",,24.0,,2025-04-26T10:00:00,2025-04-26T10:00:00,,,
issue-25,MER-25,25,Accessibility audit for dashboard components,Run aXe audit on all dashboard components. Fix critical/serious violations. Target WCAG 2.1 AA compliance.,3,5,state-frn-triage,,team-frontend,proj-dashboard,,"label-feature,label-ui",,25.0,,2025-04-27T09:00:00,2025-04-27T09:00:00,,,
issue-26,MER-26,26,Cancelled: Custom domain support for docs portal,Allow customers to use their own domain for hosted docs. CANCELLED - moving to third-party docs solution.,0,,state-frn-cancelled,,team-frontend,,,label-feature,,26.0,,2025-03-05T10:00:00,2025-04-05T09:00:00,,,2025-04-05T09:00:00
issue-27,MER-27,27,Implement request signing for v2 API webhooks,All outgoing webhook payloads must be HMAC-SHA256 signed. Include signature in X-Webhook-Signature header.,2,3,state-bkd-inreview,user-04,team-backend,proj-api-v2,cycle-bkd-2,"label-feature,label-api,label-security",,27.0,david.kim/mer-27-implement-request-signing,2025-04-16T09:00:00,2025-04-28T14:00:00,2025-04-22T09:00:00,,
issue-28,MER-28,28,Redis cluster failover causing cache misses,After Redis sentinel failover the app connects to stale replica for 30s. Need faster reconnect.,1,2,state-plt-todo,user-10,team-platform,proj-perf,cycle-plt-2,"label-bug,label-infra,label-p0-incident",2025-04-29,28.0,,2025-04-25T07:00:00,2025-04-26T09:00:00,,,
issue-29,MER-29,29,Add loading skeletons to all dashboard cards,Replace spinner loading states with content-aware skeleton screens for perceived performance improvement.,4,2,state-frn-backlog,user-06,team-frontend,proj-dashboard,,"label-feature,label-ui,label-performance",,29.0,,2025-04-27T14:00:00,2025-04-27T14:00:00,,,
issue-30,MER-30,30,Write integration tests for v2 auth flow,End-to-end tests covering: login token-refresh password-reset and SSO flows using the v2 token format.,3,3,state-bkd-todo,,team-backend,proj-api-v2,cycle-bkd-3,"label-tech-debt,label-api",,30.0,,2025-04-28T09:00:00,2025-04-28T09:00:00,,,
task-001,CON-1,1,Web App Penetration Test,Full penetration test of TechVault web portal,1,12,state-con-done,user-amanda,team-consulting,proj-techvault,cycle-con-1,,2024-04-15,31.0,,2024-04-01T09:00:00,2024-04-12T17:00:00,,2024-04-12T17:00:00,
task-002,CON-2,2,Infrastructure Security Audit,Infrastructure review covering network and access controls,2,8,state-con-done,user-amanda,team-consulting,proj-techvault,cycle-con-1,,2024-04-20,32.0,,2024-04-08T09:00:00,2024-04-16T16:00:00,,2024-04-16T16:00:00,
task-003,CON-3,3,API Vulnerability Assessment,Assess all API endpoints for injection and auth bypass,2,6,state-con-done,user-amanda,team-consulting,proj-techvault,cycle-con-1,,2024-04-25,33.0,,2024-04-14T09:00:00,2024-04-20T15:00:00,,2024-04-20T15:00:00,
task-004,CON-4,4,Security Policy Documentation,Draft security policies for incident response and access management,3,4,state-con-inprogress,user-amanda,team-consulting,proj-techvault,cycle-con-1,,2024-04-30,34.0,,2024-04-18T09:00:00,2024-04-28T14:00:00,,,
task-005,CON-5,5,Client Handoff Walkthrough,Walk TechVault engineering through findings and remediation,3,2,state-con-todo,user-amanda,team-consulting,proj-techvault,cycle-con-1,,,35.0,,2024-04-20T09:00:00,2024-04-20T09:00:00,,,
